Rollnumber,phone,message
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"
25K91A04A7,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 18,13,44,56"
25K91A04A8,7093374664,"మీ అబ్బాయి లేదా అమ్మాయి మార్కులు 28,33,34,65"


